Title,Year,Country,First_Author_First,Predicted_First_Gender,Last_Author_First,Predicted_Last_Gender,MeSH_Clean
Diagnosis of Polycystic Ovary Syndrome: Which Criteria to Use and When?,2021,United States,Sydney,mostly_male,Andrea,female,"['Female', 'Humans', 'Polycystic Ovary Syndrome']"
Inflammatory Markers in Dysmenorrhea and Therapeutic Options.,2020,Poland,Zofia,female,Katarzyna,female,"['Biomarkers', 'Dysmenorrhea', 'Female', 'Humans', 'Inflammation']"
Primary Dysmenorrhea: Diagnosis and Therapy.,2021,United States,Frank,male,Kevin,male,"['Dysmenorrhea', 'Female', 'Humans']"
Polycystic Ovary Syndrome.,2021,Australia,Aya,female,Jacqueline,female,"['Female', 'Humans', 'Polycystic Ovary Syndrome']"
Diagnosis and management of polycystic ovarian syndrome.,2024,,Ebernella,unknown,Mara,female,"['Female', 'Humans', 'Polycystic Ovary Syndrome']"
Interventions of Postpartum Hemorrhage.,2023,United States,Sara,female,Miranda,female,"['Pregnancy', 'Female', 'Humans', 'Postpartum Hemorrhage']"
Dysmenorrhea.,2021,United States,Kathryn,female,Corey,mostly_male,"['Contraception', 'Contraceptives, Oral, Hormonal', 'Dysmenorrhea', 'Female', 'Humans', 'Ultrasonography']"
"Dysmenorrhea, Endometriosis and Chronic Pelvic Pain in Adolescents.",2020,Australia,Aalia,unknown,Nicole,female,"['Adolescent', 'Chronic Pain', 'Complementary Therapies', 'Diagnosis, Differential', 'Dysmenorrhea', 'Endometriosis', 'Female', 'Humans', 'Pelvic Pain', 'Physical Examination']"
Polycystic Ovary Syndrome.,2023,,,unknown,,unknown,"['Female', 'Humans', 'Polycystic Ovary Syndrome']"
Reimagining Endometriosis.,2021,United States,Hugh,male,Hugh,male,"['Endometriosis', 'Female', 'Humans', 'Pelvis']"
Endometriosis.,2022,Australia,Louie,male,Martha,female,"['Female', 'Humans', 'Endometriosis']"
Postpartum Hemorrhage: Rescue.,2021,Italy,Fabio,male,Raffaella,female,"['Embolization, Therapeutic', 'Humans', 'Postpartum Hemorrhage', 'Radiology, Interventional']"
Adolescent dysmenorrhea.,2012,,Charles,male,Françoise,female,"['Adolescent', 'Age of Onset', 'Dysmenorrhea', 'Female', 'Humans', 'Models, Biological', 'Pediatrics', 'Prevalence']"
Dysmenorrhea in adolescents.,2022,United States,Gail,mostly_female,Martin,male,"['Adolescent', 'Aged', 'Child', 'Complementary Therapies', 'Dysmenorrhea', 'Endometriosis', 'Female', 'Humans', 'Physical Examination', 'Pregnancy']"
Randomized Trial of Early Detection and Treatment of Postpartum Hemorrhage.,2023,United Kingdom,Ioannis,male,Arri,unknown,"['Female', 'Humans', 'Pregnancy', 'Early Diagnosis', 'Oxytocics', 'Postpartum Hemorrhage', 'Risk', 'Tranexamic Acid']"
Dysmenorrhea.,2009,Lebanon,Cathleen,female,Elizabeth,female,"['Dysmenorrhea', 'Female', 'Humans', 'Physicians, Family', 'Primary Health Care', 'Risk Factors', ""Women's Health""]"
Evaluation and Management of Endometriosis in the Adolescent.,2024,United States,Jessica,female,Nichole,female,"['Adult', 'Female', 'Adolescent', 'Humans', 'Endometriosis', 'Dysmenorrhea', 'Pelvic Pain', 'Chronic Disease', 'Laparoscopy']"
Postmenopausal endometriosis.,2025,Indonesia,Kemala,unknown,Ali,male,"['Humans', 'Female', 'Endometriosis', 'Postmenopause', 'Middle Aged', 'Hysterectomy', 'Salpingo-oophorectomy', 'Diagnosis, Differential', 'Ascites']"
Polycystic ovary syndrome.,2014,,Keith,male,Keith,male,"['Female', 'Humans', 'Polycystic Ovary Syndrome']"
No. 345-Primary Dysmenorrhea Consensus Guideline.,2017,,Margaret,female,Madeleine,female,"['Canada', 'Consensus', 'Dysmenorrhea', 'Female', 'Humans', 'Risk Factors']"
Diagnosis and initial management of dysmenorrhea.,2014,United States,Amimi,unknown,Suarna,unknown,"['Anti-Infective Agents', 'Contraceptives, Oral, Hormonal', 'Disease Management', 'Dysmenorrhea', 'Exercise Therapy', 'Female', 'Humans', 'Physical Examination', 'Prognosis']"
Infertility workup: identifying endometriosis.,2022,France,Paul,male,Jean,male,"['Endometriosis', 'Female', 'Humans', 'Infertility', 'Magnetic Resonance Imaging', 'Reproductive Techniques, Assisted', 'Ultrasonography']"
Early diagnosis in polycystic ovary syndrome.,2022,United States,Christy,female,Christy,female,"['Early Diagnosis', 'Female', 'Humans', 'Polycystic Ovary Syndrome']"
Exercise for Dysmenorrhea.,2021,United States,Paul,male,Garry,male,"['Dysmenorrhea', 'Exercise', 'Exercise Therapy', 'Female', 'Humans']"
Endometriosis DFP report.,2021,,,unknown,,unknown,"['Female', 'Humans', 'Endometriosis']"
Evaluation During Postpartum Hemorrhage.,2023,United States,Onur,male,Perry,male,"['Pregnancy', 'Female', 'Humans', 'Postpartum Hemorrhage', 'Postpartum Period', 'Maternal Mortality', 'Maternal Death']"
Assessing blood loss in clinical practice.,2019,,Angela,female,Lavender,unknown,"['Female', 'Humans', 'Postpartum Hemorrhage', 'Pregnancy']"
Endometriosis.,2022,,,unknown,,unknown,"['Female', 'Humans', 'Endometriosis']"
Efficacy of acupuncture for endometriosis-associated pain: a multicenter randomized single-blind placebo-controlled trial.,2023,China,Pei,andy,Rui,male,"['Female', 'Humans', 'Young Adult', 'Adult', 'Endometriosis', 'Dysmenorrhea', 'Quality of Life', 'Single-Blind Method', 'Pelvic Pain', 'Acupuncture Therapy', 'Treatment Outcome']"
Haemostatic support in postpartum haemorrhage: A review of the literature and expert opinion.,2023,Germany,Stefan,male,Marc,male,"['Humans', 'Female', 'Hemostatics', 'Postpartum Hemorrhage', 'Fibrinogen']"
Sonography of adenomyosis.,2012,United States,Khaled,male,Alfred,male,"['Diagnosis, Differential', 'Endometriosis', 'Female', 'Humans', 'Ultrasonography']"
Postpartum hemorrhage: The role of simulation.,2022,United States,Rebecca,female,Hilary,female,"['Pregnancy', 'Female', 'United States', 'Humans', 'Postpartum Hemorrhage', 'Maternal Mortality']"
Postpartum ultrasound: postpartum assessment using ultrasonography.,2017,Japan,Tomohiro,male,Akihiko,male,"['Diagnosis, Differential', 'Female', 'Humans', 'Postpartum Hemorrhage', 'Postpartum Period', 'Ultrasonography']"
Adolescent polycystic ovary syndrome according to the international evidence-based guideline.,2020,Australia,Alexia,female,Helena,female,"['Adolescent', 'Child', 'Female', 'Guidelines as Topic', 'Humans', 'Polycystic Ovary Syndrome']"
Diagnosis and management of postpartum haemorrhage.,2017,,Edwin,male,Archana,female,"['Female', 'Humans', 'Postpartum Hemorrhage']"
Foreword.,2015,,Umit,unknown,Engin,male,"['Dysmenorrhea', 'Dyspareunia', 'Endometriosis', 'Female', 'Humans', 'Pelvic Pain', ""Women's Health""]"
