Title,Year,Country,First_Author_First,Predicted_First_Gender,Last_Author_First,Predicted_Last_Gender,MeSH_Clean
2023 American Heart Association Focused Update on Adult Advanced Cardiovascular Life Support: An Update to the American Heart Association Guidelines for Cardiopulmonary Resuscitation and Emergency Cardiovascular Care.,2024,,Sarah,female,Jon,male,"['Humans', 'United States', 'American Heart Association', 'Cardiopulmonary Resuscitation', 'Emergency Medical Services', 'Heart Arrest', 'Emergency Treatment']"
Cardiac Arrest!,2023,United States,Amal,mostly_female,Amal,mostly_female,"['Humans', 'Heart Arrest']"
Out-of-Hospital Cardiac Arrest.,2023,United States,Ryan,mostly_male,Jose,male,"['Humans', 'Out-of-Hospital Cardiac Arrest', 'Emergency Medical Services']"
In-Hospital Cardiac Arrest.,2023,United States,Andrew,male,Kyle,mostly_female,"['Humans', 'Heart Arrest', 'Hospitals']"
Pediatric In-Hospital Cardiac Arrest and Cardiopulmonary Resuscitation in the United States: A Review.,2021,United States,Ryan,mostly_male,Alexis,male,"['Cardiopulmonary Resuscitation', 'Heart Arrest', 'Hospitalization', 'Humans', 'Pediatrics', 'United States']"
Critical Care Management of Patients After Cardiac Arrest: A Scientific Statement From the American Heart Association and Neurocritical Care Society.,2024,,Karen,female,Romergryko,unknown,"['Humans', 'Cardiopulmonary Resuscitation', 'American Heart Association', 'Heart Arrest', 'Emergency Medical Services', 'Critical Care']"
Angiography after Out-of-Hospital Cardiac Arrest without ST-Segment Elevation.,2021,Germany,Steffen,male,Holger,male,"['Aged', 'Cardiopulmonary Resuscitation', 'Cause of Death', 'Coronary Angiography', 'Coronary Disease', 'Electrocardiography', 'Female', 'Humans', 'Kaplan-Meier Estimate', 'Length of Stay', 'Male', 'Middle Aged', 'Nervous System Diseases', 'Out-of-Hospital Cardiac Arrest', 'ST Elevation Myocardial Infarction', 'Time Factors', 'Time-to-Treatment']"
Ten Steps Toward Improving In-Hospital Cardiac Arrest Quality of Care and Outcomes.,2023,Switzerland,Brahmajee,unknown,Paul,male,"['Humans', 'Heart Arrest', 'Cardiopulmonary Resuscitation', 'Hospitals', 'Quality of Health Care', 'Treatment Outcome', 'Emergency Medical Services']"
Best Practices for Education and Training of Resuscitation Teams for In-Hospital Cardiac Arrest.,2021,United States,Theresa,female,Brahmajee,unknown,"['Cardiopulmonary Resuscitation', 'Clinical Competence', 'Heart Arrest', 'Hospitals', 'Humans', 'Leadership', 'Resuscitation']"
What Explains Unexplained Cardiac Arrest?,2020,United States,Laura,female,Graham,male,"['Death, Sudden, Cardiac', 'Heart Arrest', 'Humans']"
